0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:01 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/tabs_icons.png HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:01 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:01 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/tree_icons.png HTTP/1.1" 200 3115
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:01 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:02 +0800] "GET /taotao-manager-web/item-list?_=1521703801018 HTTP/1.1" 200 6784
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/loading.gif HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/default/images/pagination_icons.png HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icons/pencil.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icons/edit_remove.png HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icons/cancel.png HTTP/1.1" 200 1133
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/js/jquery-easyui-1.4.1/themes/icons/filesave.png HTTP/1.1" 200 898
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /item/list?page=1&rows=30 HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /taotao-manager-web/item-add?_=1521703801019 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:03 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:04 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703801020 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:05 +0800] "GET /taotao-manager-web/item-param-list?_=1521703801021 HTTP/1.1" 200 2784
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:06 +0800] "GET /item/param/list?page=1&rows=30 HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:10 +0800] "GET /taotao-manager-web/item-add?_=1521703801022 HTTP/1.1" 200 4622
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:10 +0800] "GET /js/kindeditor-4.1.10/themes/default/default.css HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [22/Mar/2018:15:30:10 +0800] "GET /js/kindeditor-4.1.10/kindeditor-all-min.js?_=1521703801023 HTTP/1.1" 404 1078
